SMILES,Tc,Pc,Vc,omega
FC(Cl)(Cl)Br,512.9,45.37,266,0.196
ClC(Cl)(Cl)Br,606,49.19,284,0.209
FC(F)(Br)Br,478,43.63,249,0.217
BrC(Br)(Br)Br,706.76,42.27,326.55,0.524
N#CCl,449,59.9,163,0.32
O=C(F)F,297,57.6,141,0.283
FC(F)Br,,,,0.152
BrC(Br)Br,656.39,50.79,278.45,0.319
IC(I)I,718.24,40.06,309.55,0.491
ClCBr,557,68.58,204,0.15
BrCBr,615.89,72.28,202.49,0.162
FCCl,411.48,80.04,124.13,0.155
NC(=O)Cl,517,61.26,201,0.243
ClCCl,,,174.18,
ICI,697.5,57.63,244.39,0.36
C=O,415.24,71.57,98.34,
O=CO,,,170.47,
CS(=O)(=O)Cl,676,52.3,260,0.3
CI,522.43,68.89,179.06,0.174
NC=O,554.1,108.64,118.33,
C[SiH](Cl)Cl,483,39.5,289,0.25
N=CNO,705,73.64,218,
N#C[S-].[NH4+],854,76.86,248,
CS(=O)(=O)O,903.59,70.89,220,0.51
C[SiH2]Cl,442,41.7,246,0.225
CN,,,112.49,
C[SiH3],,,205,0.139
IC(I)(I)I,866.17,31.59,404.78,0.595
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],540,23.65,439,0.574
FC(F)=C(F)Br,432,43.65,239,0.179
FC(F)=C(Cl)Cl,440.65,42,233.79,0.234
FC(Cl)=C(F)Cl,444.18,44.34,223.23,0.234
FC(F)(F)C(F)(Cl)Cl,410.78,28.17,309.97,0.268
FC(F)(F)C(Cl)(Cl)Cl,469.73,30.68,318.86,0.281
ClC(Cl)=C(Cl)Cl,,,276.26,
FC(Cl)(Cl)C(F)(Cl)Cl,533.65,32.76,332.42,0.293
FC(F)(Cl)C(Cl)(Cl)Cl,531.74,32.73,331.48,0.293
O=C(Cl)C(Cl)(Cl)Cl,590,41,332,0.35
FC(Cl)(Cl)C(Cl)(Cl)Cl,594.54,34.84,341.13,0.305
ClC(Cl)(Cl)C(Cl)(Cl)Cl,695,33.04,412,0.361
FC(F)(F)C(Cl)Br,496,38.67,296,0.208
FC(Cl)C(F)(F)F,393.66,33.96,257.21,0.237
FC(F)C(F)(Cl)Cl,462.04,37.42,268.44,0.252
FC(Cl)C(F)(F)Cl,,,263.08,0.252
ClC=C(Cl)Cl,,,267.06,
FC(F)C(Cl)(Cl)Cl,513.2,38.49,284.01,0.266
FC(Cl)C(F)(Cl)Cl,513.2,38.49,284.01,0.266
FC(F)(Cl)C(Cl)Cl,509.55,38.22,283.94,0.266
O=C(Cl)C(Cl)Cl,579,44.01,288,0.394
O=CC(Cl)(Cl)Cl,565,42.94,288,0.394
O=C(O)C(Cl)(Cl)Cl,688,47.78,309,0.423
FC(Cl)C(Cl)(Cl)Cl,568.81,39.22,302.62,0.279
FC(Cl)(Cl)C(Cl)Cl,569.94,39.3,302.62,0.279
ClC(Cl)C(Cl)(Cl)Cl,665,36.84,369,0.314
FC=C(F)F,345.24,53.63,149.36,0.275
FC(F)OC(F)(F)F,395.88,49.47,173.6,0.357
