SMILES,Tc,Pc,Vc,omega
Br,363.17,85.2474,100.0066667,0.07366
BrB(Br)Br,573.2,,,
BrBr,584.91,103.0952,133.424,0.118475
BrC(Br)(Br)Br,724.8,96.31,328.73,0.584
BrC(Br)Br,686.2625,58.89887006,273.615,0.184624289
BrCBr,596.05,71.841,223.16,0.209
BrCCBr,630.2071429,60.65055748,257.642,0.211986327
BrP(Br)Br,711.045,,,
Brc1ccccc1,670.2,45.49142004,323.975,0.253901872
C,190.565325,45.9948254,98.75975678,0.011468825
C#C,308.3669167,61.38930126,113.2870283,0.187965043
C#CC,402.2633333,56.2687726,163.471697,0.21118705
C#CC(C)C,463.2,42,275.03,0.308
C#CC=C,454.7875,49.379,203.0066667,0.1005
C#CCC,447.3214286,45.60333333,213.2389606,0.2635
C#CCCC,486.33,41.105,277.6733333,0.227
C#CCCCC,516.2,36.4,321.96,0.335
C#CCCCCC,559,31.3,385.95,0.272
C#CCCCCCC,585,28.2,440.92,0.323
C#N,456.6625,53.8336,138.9766667,0.405833333
C/C(Cl)=C/Cl,590,47.3257,,
C/C(Cl)=C\Cl,542,43.4335,,
C/C(F)=C/F,458,44.5038,,
C/C(F)=C\C(F)(F)F,424.73,31.5648,,
C/C=C(/C)C(=O)O,661.14,44.9167,,
C/C=C(/C)CC,518.15,32.8,351,
C/C=C(\C)CC,521.15,32.7,350,
C/C=C/C,427.9475833,40.73216275,237.7580551,0.213710627
C/C=C/C(=O)OCC,599.0375,,381.97,
C/C=C/C(C)C,493.15,30.4,360,
C/C=C/C=O,601.98,54.97,239.2,0.338
C/C=C/CC,473.9633333,36.09333333,302.7366667,0.237
C/C=C/CCC,512.5375,32.51512492,351.66,0.313363731
C/C=C/CCCC,542.8,30,410,
C/C=C/CCCCC,574.9,27.655,,0.35
C/C=C/Cl,490.8,46.3014,,
C/C=C\C,434.3620833,42.08316833,234.4626767,0.202808071
C/C=C\C(=O)O,644.6,47.0344,,
C/C=C\C(C)C,494.25,32.00094787,360,0.283996656
C/C=C\CC,475.2571429,36.80109753,301.8325,0.245225745
C/C=C\CC(=O)O,646.87,38.7866,,
C/C=C\CCC,515.7375,32.815,351,
C/C=C\CCCC,548.5,30,410,
C/C=C\CCCCC,580.15,27.7,,
C/C=C\Cl,483.3,46.0183,,
C/C=C\F,393,46.7848,,
C1=CC2CCC1C2,590,,314.37,
C1=CC=CCC=C1,593.9,42.85,,
C1=CCC1,448,51.495,193.4235977,0.163
C1=CCCC1,506.4109091,47.97618506,246.02,0.19755315
C1=CCCCC1,560.4328182,43.37133333,292.53,0.212333333
C1=COCCC1,561.45,46.02258772,268.02,0.248720896
C1=Cc2cccc3cccc1c23,792,32,,0.399
C1CC1,398.10595,55.40291599,163.3935606,0.129564808
C1CC12CC2,506.425,,,
C1CCC(C2CCCC2)C1,690,,,
C1CCC(SC2CCCCC2)CC1,770,23.7,699.79,
C1CCC1,459.9785714,49.68205,211.626,0.183
C1CCC2CCCCC2C1,684.2722222,29.89471429,491.88,0.27
C1CCCC1,511.7,45.14173448,259.4151701,0.196529887
C1CCCCC1,553.6063636,40.78013163,308.252633,0.209397538
C1CCCCCC1,602.8554545,38.14650086,358.7033333,0.240590973
C1CCCCCCC1,648.116,35.57681601,410.85625,0.247372901
C1CCCCCCCC1,682,33.44,457.02,0.281
C1CCCCCCCCC1,709,30.4,506.035,0.292
C1CCNC1,568.53,56.25082046,246.25,0.293003564
C1CCNCC1,594.0695556,46.93429561,294.615,0.244825029
C1CCOC1,540.1536667,52.12644047,223.8116667,0.226019254
C1CCOCC1,572.13,47.76666667,267.77,0.219682688
C1CCSC1,632.0057143,54.48412017,276.01,0.219682688
C1CCSCC1,684,,,
C1CC[C@H]2CCCC[C@@H]2C1,687.0375,29.99333333,480,
C1CC[C@H]2CCCC[C@H]2C1,702.9375,32,480,0.279
C1CNCCN1,659.9,57.36711712,272.6633333,0.371413579
C1CO1,468.9433333,72.23598825,139.9288904,0.200665636
C1COC1,507.9,,,
C1COCCN1,618.05,54.701,252.985,0.37
C1COCCO1,587.08,52.01236417,240.45125,0.278817674
C1COCOC1,588,45.8,,
C=C,282.34978,50.39842176,130.8736402,0.086474449
C=C(C)C,417.982,40.00361388,239.0161958,0.191916524
